state,year,annual_median_wage,poverty_rate,median_household_income,opioid_overdose,Median_Rent,overall_homeless_per_capita,drug_overdose_deaths_per_capita,total_vacant_units_per_capita,totalsubsidized_units_per_capita
Alabama,2011,29850,0.1914,41415.0,176.0,599,0.0012,0.0001,0.0704,0.0198
Alaska,2011,42960,0.1031,67825.0,66.0,1115,0.0029,0.0001,0.0746,0.0108
Arizona,2011,34110,0.1914,46709.0,562.0,831,0.0016,0.0002,0.0785,0.0062
Arkansas,2011,28460,0.1869,38758.0,169.0,570,0.0012,0.0001,0.0669,0.0181
California,2011,38530,0.1665,57287.0,1938.0,1089,0.0033,0.0001,0.0333,0.0129
Colorado,2011,37070,0.1335,55387.0,418.0,800,0.003,0.0002,0.0487,0.0118
Connecticut,2011,41320,0.1092,65753.0,209.0,1141,0.0012,0.0001,0.0397,0.0242
Delaware,2011,36180,0.1228,58814.0,113.0,880,0.0011,0.0002,0.0844,0.0145
Florida,2011,30770,0.1706,44299.0,1576.0,834,0.003,0.0002,0.1008,0.0105
Georgia,2011,31720,0.1914,46007.0,535.0,641,0.0021,0.0001,0.0621,0.0142
Hawaii,2011,36270,0.1221,61821.0,77.0,1460,0.0045,0.0001,0.0535,0.0168
Idaho,2011,30170,0.1544,43341.0,77.0,662,0.0014,0.0001,0.0595,0.0079
Illinois,2011,35260,0.1472,53234.0,907.0,649,0.0011,0.0001,0.0434,0.0183
Indiana,2011,31280,0.1574,46438.0,356.0,668,0.001,0.0001,0.0512,0.0147
Iowa,2011,31180,0.128,49427.0,172.0,590,0.001,0.0001,0.0404,0.0135
Kansas,2011,30820,0.1417,48964.0,118.0,610,0.0009,0.0001,0.0474,0.0126
Kentucky,2011,30420,0.1956,41141.0,669.0,579,0.0014,0.0002,0.0596,0.019
Louisiana,2011,30730,0.2021,41734.0,116.0,681,0.002,0.0001,0.0605,0.0212
Maine,2011,32510,0.1425,46033.0,85.0,737,0.0018,0.0001,0.1307,0.0205
Maryland,2011,40470,0.1012,70004.0,546.0,1094,0.0017,0.0001,0.044,0.0183
Massachusetts,2011,42730,0.117,62859.0,655.0,1119,0.0025,0.0001,0.0434,0.0297
Michigan,2011,34260,0.1703,45981.0,714.0,651,0.0013,0.0001,0.0762,0.0159
Minnesota,2011,36470,0.1161,56954.0,286.0,666,0.0014,0.0001,0.0482,0.0165
Mississippi,2011,27270,0.2259,36919.0,79.0,630,0.0008,0.0001,0.0674,0.0189
Missouri,2011,31170,0.1588,45247.0,595.0,596,0.0015,0.0002,0.0636,0.0156
Montana,2011,29390,0.1401,44222.0,63.0,636,0.0018,0.0001,0.0852,0.0144
Nebraska,2011,30830,0.1192,50296.0,53.0,580,0.0019,0.0001,0.042,0.0151
Nevada,2011,32650,0.1612,48927.0,461.0,827,0.0034,0.0002,0.0743,0.0082
New Hampshire,2011,35330,0.088,62647.0,154.0,932,0.0011,0.0002,0.0767,0.0164
New Jersey,2011,39530,0.103,67458.0,454.0,1228,0.0016,0.0001,0.0448,0.0195
New Mexico,2011,31040,0.2143,41963.0,243.0,619,0.0017,0.0003,0.0677,0.0126
New York,2011,39560,0.1585,55246.0,1356.0,903,0.0033,0.0001,0.0478,0.0318
North Carolina,2011,31540,0.1774,43916.0,822.0,663,0.0013,0.0001,0.0704,0.0132
North Dakota,2011,32040,0.1101,51704.0,10.0,564,0.0009,0.0,0.0547,0.0197
Ohio,2011,32590,0.1642,45749.0,1272.0,652,0.0011,0.0002,0.0515,0.0199
Oklahoma,2011,29660,0.1758,43225.0,483.0,589,0.0012,0.0002,0.0612,0.0141
Oregon,2011,35140,0.1696,46816.0,392.0,733,0.0045,0.0001,0.0432,0.0134
Pennsylvania,2011,34750,0.1358,50228.0,752.0,703,0.0012,0.0002,0.0504,0.0177
Rhode Island,2011,36870,0.1436,53636.0,142.0,1001,0.001,0.0002,0.0498,0.0361
South Carolina,2011,30050,0.1896,42367.0,243.0,640,0.0011,0.0001,0.0831,0.0136
South Dakota,2011,28660,0.1286,48321.0,34.0,563,0.001,0.0001,0.0526,0.0177
Tennessee,2011,30270,0.1811,41693.0,633.0,612,0.0014,0.0002,0.0565,0.0166
Texas,2011,32120,0.1837,49392.0,1178.0,664,0.0014,0.0001,0.0487,0.0111
Utah,2011,32050,0.1368,55869.0,381.0,707,0.0011,0.0002,0.0387,0.0066
Vermont,2011,34030,0.1098,52776.0,55.0,916,0.0018,0.0001,0.1069,0.0206
Virginia,2011,36300,0.1171,61882.0,575.0,824,0.0011,0.0001,0.049,0.0134
Washington,2011,40140,0.1405,56835.0,697.0,786,0.003,0.0001,0.0403,0.0128
West Virginia,2011,27990,0.1862,38482.0,550.0,573,0.0012,0.0003,0.0789,0.0184
Wisconsin,2011,33350,0.1356,50395.0,473.0,665,0.001,0.0001,0.063,0.0136
Wyoming,2011,36140,0.1126,56322.0,43.0,675,0.0018,0.0001,0.0758,0.0106
Alabama,2012,29950,0.1872,41574.0,165.0,579,0.0011,0.0001,0.0715,0.0197
Alaska,2012,43510,0.1144,67712.0,81.0,938,0.0026,0.0002,0.0766,0.0108
Arizona,2012,33980,0.1833,47826.0,526.0,755,0.0017,0.0002,0.0731,0.0062
Arkansas,2012,28690,0.1907,40112.0,169.0,547,0.0014,0.0001,0.0625,0.0181
California,2012,38770,0.1687,58328.0,1719.0,1059,0.0032,0.0001,0.0304,0.013
Colorado,2012,37100,0.1369,56765.0,407.0,749,0.0032,0.0002,0.0451,0.012
Connecticut,2012,42030,0.1079,67276.0,201.0,1158,0.0012,0.0001,0.0362,0.0245
Delaware,2012,36710,0.1223,58415.0,82.0,874,0.0011,0.0002,0.0765,0.0146
Florida,2012,30620,0.1712,45040.0,1326.0,809,0.0029,0.0001,0.095,0.0104
Georgia,2012,32190,0.1919,47209.0,536.0,630,0.0021,0.0001,0.058,0.0141
Hawaii,2012,36350,0.1191,66259.0,62.0,1440,0.0045,0.0001,0.0549,0.0165
Idaho,2012,30330,0.1554,45489.0,59.0,612,0.0012,0.0001,0.0564,0.0078
Illinois,2012,35490,0.1467,55137.0,1151.0,663,0.0011,0.0001,0.0404,0.0183
Indiana,2012,31740,0.1563,46974.0,375.0,647,0.001,0.0002,0.0502,0.0144
Iowa,2012,31880,0.1262,50957.0,171.0,575,0.001,0.0001,0.0386,0.0134
Kansas,2012,31330,0.1377,50241.0,171.0,582,0.0009,0.0001,0.0433,0.0126
Kentucky,2012,30740,0.1926,41724.0,673.0,555,0.0012,0.0002,0.0525,0.0197
Louisiana,2012,31050,0.1987,42944.0,169.0,628,0.0017,0.0001,0.0582,0.0209
Maine,2012,32950,0.1496,46709.0,100.0,681,0.0018,0.0001,0.1278,0.0205
Maryland,2012,40590,0.101,71122.0,657.0,1087,0.0016,0.0001,0.0404,0.0179
Massachusetts,2012,43420,0.1198,65339.0,691.0,1081,0.0026,0.0001,0.0432,0.0299
Michigan,2012,34370,0.1754,46859.0,685.0,643,0.0013,0.0001,0.0713,0.0159
Minnesota,2012,36900,0.1138,58906.0,290.0,653,0.0014,0.0001,0.0463,0.0175
Mississippi,2012,27820,0.2379,37095.0,111.0,572,0.0008,0.0001,0.0648,0.0189
Missouri,2012,31650,0.1638,45321.0,539.0,600,0.0017,0.0002,0.0599,0.0156
Montana,2012,30140,0.1495,45076.0,51.0,594,0.0018,0.0001,0.0769,0.0145
Nebraska,2012,31210,0.1164,50723.0,53.0,616,0.002,0.0001,0.0382,0.0151
Nevada,2012,33000,0.1576,49760.0,446.0,774,0.0031,0.0002,0.0642,0.0082
New Hampshire,2012,35740,0.0966,63280.0,133.0,910,0.0011,0.0001,0.0739,0.0163
New Jersey,2012,39870,0.1071,69667.0,602.0,1245,0.0015,0.0001,0.0425,0.0196
New Mexico,2012,31430,0.206,42558.0,319.0,605,0.0016,0.0002,0.068,0.0124
New York,2012,39910,0.1598,56448.0,1530.0,905,0.0036,0.0001,0.0452,0.0318
North Carolina,2012,31850,0.1798,45150.0,833.0,658,0.0014,0.0001,0.0661,0.0131
North Dakota,2012,34110,0.1069,53585.0,,607,0.001,0.0,0.0546,0.0195
Ohio,2012,33350,0.1628,46829.0,1355.0,641,0.0012,0.0002,0.0497,0.02
Oklahoma,2012,30200,0.1727,44312.0,531.0,563,0.0013,0.0002,0.0605,0.014
Oregon,2012,35650,0.1677,49161.0,361.0,691,0.0041,0.0001,0.0425,0.0134
Pennsylvania,2012,34900,0.1388,51230.0,827.0,685,0.0012,0.0002,0.0481,0.0176
Rhode Island,2012,37360,0.1387,54554.0,140.0,925,0.0012,0.0002,0.047,0.0359
South Carolina,2012,30210,0.1824,43107.0,237.0,625,0.001,0.0001,0.0783,0.0134
South Dakota,2012,29090,0.1339,48362.0,24.0,556,0.001,0.0001,0.0534,0.0172
Tennessee,2012,30350,0.1804,42764.0,723.0,573,0.0015,0.0002,0.055,0.0166
Texas,2012,32350,0.1785,50740.0,1131.0,674,0.0013,0.0001,0.0454,0.0108
Utah,2012,32760,0.1231,57049.0,422.0,675,0.0012,0.0002,0.0354,0.0065
Vermont,2012,34540,0.1136,52977.0,55.0,908,0.0019,0.0001,0.1047,0.0202
Virginia,2012,36630,0.1191,61741.0,533.0,823,0.001,0.0001,0.0439,0.0131
Washington,2012,40500,0.1359,57573.0,695.0,763,0.003,0.0001,0.0403,0.0127
West Virginia,2012,28550,0.1728,40196.0,468.0,565,0.0013,0.0003,0.0761,0.0184
Wisconsin,2012,33650,0.1288,51059.0,483.0,650,0.0011,0.0001,0.0602,0.0135
Wyoming,2012,36740,0.1263,54901.0,45.0,636,0.0031,0.0002,0.0723,0.0103
Alabama,2013,30390,0.1894,42849.0,166.0,643,0.001,0.0001,0.0761,0.02
Alaska,2013,44350,0.0905,72237.0,69.0,1042,0.0026,0.0001,0.0833,0.0113
Arizona,2013,34170,0.1859,48510.0,527.0,769,0.0016,0.0002,0.0741,0.0065
Arkansas,2013,28910,0.1924,40511.0,162.0,619,0.0013,0.0001,0.0689,0.0185
California,2013,38920,0.1671,60190.0,1948.0,1077,0.0031,0.0001,0.0298,0.0132
Colorado,2013,37530,0.1296,58823.0,433.0,806,0.0019,0.0002,0.0464,0.012
Connecticut,2013,42280,0.1052,67098.0,439.0,1150,0.0012,0.0002,0.0412,0.0253
Delaware,2013,37320,0.1297,57846.0,113.0,1029,0.001,0.0002,0.079,0.0149
Florida,2013,30660,0.1695,46036.0,1268.0,838,0.0024,0.0001,0.094,0.0109
Georgia,2013,32510,0.1886,47829.0,530.0,688,0.0017,0.0001,0.0565,0.0143
Hawaii,2013,36910,0.1087,68020.0,69.0,1418,0.0045,0.0001,0.0541,0.0163
Idaho,2013,30540,0.1585,46783.0,77.0,656,0.0011,0.0001,0.0544,0.0082
Illinois,2013,35720,0.1452,56210.0,1072.0,693,0.001,0.0001,0.0393,0.0188
Indiana,2013,31990,0.1584,47529.0,360.0,673,0.0009,0.0002,0.0474,0.0148
Iowa,2013,32380,0.1302,52229.0,179.0,606,0.001,0.0001,0.0367,0.0133
Kansas,2013,32110,0.1362,50972.0,158.0,620,0.0009,0.0001,0.0436,0.0133
Kentucky,2013,31220,0.184,43399.0,665.0,611,0.0012,0.0002,0.0524,0.0202
Louisiana,2013,31260,0.1972,44164.0,265.0,713,0.0011,0.0002,0.0568,0.0223
Maine,2013,33400,0.1333,46974.0,125.0,753,0.0023,0.0001,0.1321,0.0208
Maryland,2013,40710,0.1032,72483.0,749.0,1122,0.0014,0.0002,0.0409,0.0194
Massachusetts,2013,43830,0.1189,66768.0,888.0,1136,0.0028,0.0002,0.0413,0.0313
Michigan,2013,34670,0.1683,48273.0,909.0,681,0.0012,0.0002,0.0699,0.0168
Minnesota,2013,37390,0.1128,60702.0,305.0,698,0.0015,0.0001,0.046,0.0179
Mississippi,2013,28240,0.244,37963.0,100.0,640,0.0008,0.0001,0.0643,0.0195
Missouri,2013,32340,0.1633,46931.0,620.0,639,0.0014,0.0002,0.059,0.0161
Montana,2013,30770,0.174,46972.0,67.0,647,0.0019,0.0001,0.0784,0.0144
Nebraska,2013,31840,0.1301,51440.0,41.0,641,0.0017,0.0001,0.0409,0.0154
Nevada,2013,33350,0.1569,51230.0,398.0,797,0.0025,0.0002,0.0664,0.0074
New Hampshire,2013,35800,0.0877,64230.0,157.0,979,0.0011,0.0002,0.0733,0.0168
New Jersey,2013,40250,0.1137,70165.0,675.0,1246,0.0014,0.0001,0.0454,0.0194
New Mexico,2013,31490,0.2329,43872.0,322.0,698,0.0013,0.0002,0.0725,0.012
New York,2013,40460,0.1614,57369.0,1681.0,912,0.0039,0.0001,0.0462,0.0306
North Carolina,2013,32150,0.1803,45906.0,834.0,684,0.0012,0.0001,0.0647,0.0134
North Dakota,2013,35640,0.1195,55759.0,11.0,611,0.0029,0.0,0.0568,0.019
Ohio,2013,33730,0.1558,48081.0,1630.0,666,0.0011,0.0002,0.0483,0.0187
Oklahoma,2013,30730,0.1673,45690.0,511.0,619,0.0011,0.0002,0.061,0.0131
Oregon,2013,35850,0.165,50251.0,301.0,732,0.0035,0.0001,0.0409,0.0129
Pennsylvania,2013,35320,0.1379,52007.0,958.0,745,0.0012,0.0002,0.049,0.0171
Rhode Island,2013,37500,0.1407,55902.0,190.0,950,0.0013,0.0002,0.0524,0.0341
South Carolina,2013,30280,0.1862,44163.0,247.0,702,0.0014,0.0001,0.0764,0.0127
South Dakota,2013,29420,0.1375,48947.0,34.0,634,0.0013,0.0001,0.0461,0.0162
Tennessee,2013,30990,0.1814,44297.0,767.0,639,0.0015,0.0002,0.054,0.0152
Texas,2013,32880,0.1753,51704.0,1053.0,715,0.0011,0.0001,0.0433,0.0104
Utah,2013,33280,0.1281,59770.0,432.0,713,0.0011,0.0002,0.0368,0.0061
Vermont,2013,35380,0.1284,52578.0,70.0,958,0.0023,0.0001,0.1129,0.0203
Virginia,2013,36960,0.1177,62666.0,640.0,879,0.0009,0.0001,0.0432,0.012
Washington,2013,40910,0.1396,58405.0,640.0,805,0.0026,0.0001,0.0407,0.0122
West Virginia,2013,29040,0.181,41253.0,490.0,621,0.0012,0.0003,0.0759,0.018
Wisconsin,2013,33950,0.1361,51467.0,599.0,688,0.0011,0.0001,0.06,0.0123
Wyoming,2013,36990,0.1056,58752.0,48.0,746,0.0016,0.0002,0.0712,0.0099
Alabama,2014,30850,0.1945,42830.0,270.0,624,0.0009,0.0001,0.0758,0.0193
Alaska,2014,45200,0.1253,71583.0,76.0,960,0.0024,0.0002,0.08,0.0105
Arizona,2014,34230,0.1803,50068.0,589.0,773,0.0016,0.0002,0.0714,0.0061
Arkansas,2014,29140,0.1884,41262.0,173.0,598,0.001,0.0001,0.0707,0.0172
California,2014,39190,0.164,61933.0,2024.0,1097,0.003,0.0001,0.0296,0.0125
Colorado,2014,38020,0.1222,61303.0,517.0,808,0.0019,0.0002,0.0442,0.0114
Connecticut,2014,42990,0.1022,70048.0,525.0,1161,0.0012,0.0002,0.0383,0.0228
Delaware,2014,37490,0.1297,59716.0,124.0,960,0.001,0.0002,0.0726,0.0139
Florida,2014,31060,0.1658,47463.0,1399.0,837,0.0021,0.0001,0.0915,0.0098
Georgia,2014,32840,0.1863,49321.0,710.0,710,0.0016,0.0001,0.056,0.0135
Hawaii,2014,37450,0.1159,69592.0,59.0,1253,0.0049,0.0001,0.0561,0.0162
Idaho,2014,31060,0.1491,47861.0,78.0,661,0.0013,0.0001,0.0573,0.0076
Illinois,2014,36590,0.1432,57444.0,1205.0,708,0.001,0.0001,0.0415,0.0178
Indiana,2014,32500,0.1534,49446.0,462.0,680,0.0009,0.0002,0.0496,0.0136
Iowa,2014,33100,0.1228,53712.0,158.0,623,0.001,0.0001,0.0388,0.0129
Kansas,2014,32930,0.1364,52504.0,173.0,660,0.001,0.0001,0.0481,0.0121
Kentucky,2014,31830,0.1865,42958.0,729.0,615,0.0012,0.0002,0.054,0.019
Louisiana,2014,31620,0.1963,44555.0,260.0,727,0.001,0.0002,0.0631,0.0207
Maine,2014,33890,0.1461,49462.0,171.0,747,0.002,0.0002,0.1337,0.0199
Maryland,2014,40830,0.0994,73971.0,921.0,1118,0.0013,0.0002,0.0431,0.0168
Massachusetts,2014,44670,0.1159,69160.0,1140.0,1135,0.0031,0.0002,0.0413,0.0284
Michigan,2014,34740,0.1603,49847.0,1052.0,691,0.0012,0.0002,0.071,0.0148
Minnesota,2014,38070,0.1112,61481.0,318.0,709,0.0015,0.0001,0.047,0.0164
Mississippi,2014,28630,0.2221,39680.0,115.0,666,0.0007,0.0001,0.0665,0.0182
Missouri,2014,32790,0.1538,48363.0,696.0,646,0.0012,0.0002,0.0629,0.015
Montana,2014,31520,0.1614,46328.0,53.0,654,0.0017,0.0001,0.0788,0.0136
Nebraska,2014,32570,0.1264,52686.0,56.0,609,0.0016,0.0001,0.0395,0.0147
Nevada,2014,33550,0.1487,51450.0,375.0,824,0.003,0.0002,0.063,0.008
New Hampshire,2014,36420,0.0934,66532.0,297.0,966,0.001,0.0003,0.0751,0.0159
New Jersey,2014,40680,0.1112,71919.0,728.0,1257,0.0013,0.0001,0.0448,0.0191
New Mexico,2014,31810,0.2135,44803.0,402.0,722,0.0013,0.0003,0.0727,0.0123
New York,2014,40870,0.1556,58878.0,1739.0,919,0.0041,0.0001,0.0463,0.0306
North Carolina,2014,32510,0.1736,46556.0,967.0,700,0.0012,0.0001,0.0666,0.0127
North Dakota,2014,36920,0.1205,59029.0,31.0,675,0.0017,0.0001,0.0612,0.0181
Ohio,2014,34250,0.1587,49308.0,2106.0,668,0.001,0.0002,0.0478,0.0193
Oklahoma,2014,31550,0.1648,47529.0,502.0,628,0.0011,0.0002,0.0618,0.0137
Oregon,2014,36400,0.1608,51075.0,340.0,743,0.0031,0.0001,0.0417,0.0133
Pennsylvania,2014,35640,0.1354,53234.0,1092.0,755,0.0012,0.0002,0.0504,0.0173
Rhode Island,2014,38330,0.1425,54891.0,205.0,932,0.0011,0.0002,0.0502,0.0356
South Carolina,2014,30660,0.1807,45238.0,515.0,704,0.001,0.0001,0.0749,0.013
South Dakota,2014,29880,0.1474,50979.0,33.0,624,0.001,0.0001,0.0493,0.0163
Tennessee,2014,31250,0.1845,44361.0,863.0,637,0.0014,0.0002,0.055,0.0161
Texas,2014,33650,0.1722,53035.0,1151.0,714,0.0011,0.0001,0.0426,0.0103
Utah,2014,33690,0.1185,60922.0,455.0,720,0.001,0.0002,0.0355,0.0063
Vermont,2014,36170,0.1017,54166.0,64.0,888,0.0025,0.0001,0.1096,0.0198
Virginia,2014,37550,0.1193,64902.0,758.0,867,0.0008,0.0001,0.0436,0.0125
Washington,2014,41090,0.1329,61366.0,673.0,778,0.0026,0.0001,0.0402,0.0123
West Virginia,2014,29410,0.1794,41059.0,554.0,629,0.0011,0.0003,0.0807,0.0184
Wisconsin,2014,34350,0.1293,52622.0,627.0,698,0.0011,0.0001,0.0592,0.0132
Wyoming,2014,37770,0.1201,57055.0,54.0,726,0.0013,0.0002,0.0611,0.0097
Alabama,2015,31550,0.1889,44765.0,282.0,657,0.0008,0.0002,0.0767,0.0192
Alaska,2015,46420,0.1033,73355.0,86.0,1053,0.0027,0.0002,0.0804,0.0104
Arizona,2015,34680,0.1734,51492.0,671.0,797,0.0014,0.0002,0.0683,0.006
Arkansas,2015,29420,0.1941,41995.0,203.0,620,0.0009,0.0001,0.0681,0.0171
California,2015,39830,0.1534,64500.0,2018.0,1116,0.003,0.0001,0.0281,0.0125
Colorado,2015,38800,0.1156,63909.0,495.0,851,0.0018,0.0002,0.043,0.0112
Connecticut,2015,43830,0.1027,71346.0,685.0,1180,0.0011,0.0002,0.0425,0.0229
Delaware,2015,37750,0.1353,61255.0,133.0,1042,0.001,0.0002,0.0735,0.0137
Florida,2015,31810,0.157,49426.0,1838.0,842,0.0018,0.0002,0.0865,0.0097
